,,,,,,,language,,
H605,2003,ʼânash,aleph-nun-shin,אנש,be frail,ʼânash,Hebrew,אנש,
H6067,1111,ʻĂnâth,NAME,ענת,Anath,ʻĂnâth,Hebrew,ענת,
H6068,1111,ʻĂnâthôwth,NAME,ענתות,Anathoth,ʻĂnâthôwth,Hebrew,ענתות,
H6035,1359,ʻânâw,ayin-nun,ענ,depressed,ʻânâw,Hebrew,ענו,
H6038,1359,ʻănâwâh,ayin-nun,ענ,condescension,ʻănâwâh,Hebrew,ענוה,
H6043,1111,ʻĂnâyâh,NAME,עניה,Anajah,ʻĂnâyâh,Hebrew,עניה,
H5712,1349,ʻêdâh,ayin-dalet,עד,increase,anda,Xhosa,עדה,anda.mp3
H5712,1349,ʻêdâh,ayin-dalet,עד,increased,andile,Xhosa,עדה,andile.mp3
H2614,2180,chânaq,hhet-nun-quph,חנק,hang,anea,Venda,חנק,anea.mp3
H2614,2180,chânaq,hhet-nun-quph,חנק,hang,anega,Pedi,חנק,anega.mp3
H5239,1311,nâlâh,nun-lamed,נל,they are enough,anele,Xhosa,נלה,anele.mp3
H6046,1111,ʻÂnêm,NAME,ענם,Anem,ʻÂnêm,Hebrew,ענם,
H6058,2558,ʻânêph,ayin-nun-pey,ענפ,branching,ʻânêph,Hebrew,ענף,
H6063,1111,ʻÂnêr,NAME,ענר,Aner,ʻÂnêr,Hebrew,ענר,
H6041,1359,ʻânîy,ayin-nun,ענ,depressed,ʻânîy,Hebrew,עני,
H589,1111,ʼănîy,NAME,אני,I,ʼănîy,Hebrew,אני,
H592,1014,ʼănîyâh,aleph-nun,אנ,groaning,ʼănîyâh,Hebrew,אניה,
H593,1111,ʼĂnîyʻâm,NAME,אניעם,Aniam,ʼĂnîyʻâm,Hebrew,אניעם,
H6044,1111,ʻÂnîym,NAME,ענים,Anim,ʻÂnîym,Hebrew,ענים,
H6028,2556,ʻânôg,ayin-nun-gimel,ענג,luxurious,ʻânôg,Hebrew,ענג,
H595,1111,ʼânôkîy,NAME,אנכי,I,ʼânôkîy,Hebrew,אנכי,
H595,1310,ʼânôkîy,nun-kaph,נכ,i,ʼânôkîy,Hebrew,אנכי,
H607,1022,ʼantâh,aleph-tav,את,thou,ʼantâh,Hebrew,אנתה,
H6069,1111,ʻAnthôthîy,NAME,ענתתי,Antothite,ʻAnthôthîy,Hebrew,ענתתי,
H6070,1111,ʻAnthôthîyâh,NAME,ענתתיה,Anthothijah,ʻAnthôthîyâh,Hebrew,ענתתיה,
H608,1022,ʼantûwn,aleph-tav,את,ye,ʼantûwn,Hebrew,אנתון,
H580,1304,ʼănûw,nun-hey,נה,we,ʼănûw,Hebrew,אנו,
H6036,1111,ʻÂnûwb,NAME,ענוב,Anub,ʻÂnûwb,Hebrew,ענוב,
H6037,1359,ʻanwâh,ayin-nun,ענ,mildness,ʻanwâh,Hebrew,ענוה,
H5869,1359,ʻayin,ayin-nun,ענ,eye,anya,Igbo,עין, 
H5869,1359,ʻayin,ayin-nun,ענ,sight,anya,Igbo,עין, 
H589,1307,ʼănîy,nun-hhet,נח,us,anye,Ewe,אני,
H2613,2179,chănuphâh,hhet-nun-pey,חנפ,filthiness,anyepa,Southern Sotho,חנפה,anyepa.mp3
H2613,2179,chănuphâh,hhet-nun-pey,חנפ,profaneness,anyepa,Southern Sotho,חנפה,anyepa.mp3
H2610,2179,chânêph,hhet-nun-pey,חנפ,corrupt,anyepa,Southern Sotho,חנף,anyepa.mp3
H2610,2179,chânêph,hhet-nun-pey,חנפ,defile,anyepa,Southern Sotho,חנף,anyepa.mp3
H2610,2179,chânêph,hhet-nun-pey,חנפ,pollute,anyepa,Southern Sotho,חנף,anyepa.mp3
H2610,2179,chânêph,hhet-nun-pey,חנפ,profane,anyepa,Southern Sotho,חנף,anyepa.mp3
H589,1307,ʼănîy,nun-hhet,נח,us,anyi,Igbo,אני,
H5869,1359,ʻayin,ayin-nun,ענ,eyes,anyim,Igbo,עין, 
H1943,1098,hôwâh,hey-waw,הו,he,aowa,Pedi,הוה,aowa.mp3
H1943,1098,hôwâh,hey-waw,הו,he,aowi,Pedi,הוה,aowi.mp3
H642,1372,ʼêphuddâh,pey-dalet,פד,ornament,apara,Southern Sotho,אפדה,apara.mp3
H640,1372,ʼâphad,pey-dalet,פד,gird,apara,Southern Sotho,אפד,apara.mp3
H640,1372,ʼâphad,pey-dalet,פד,put on ,apara,Southern Sotho,אפד,apara.mp3
H640,1372,ʼâphad,pey-dalet,פד,strengthen,apara,Southern Sotho,אפד,apara.mp3
H640,1372,ʼâphad,pey-dalet,פד,wear,apara,Southern Sotho,אפד,apara.mp3
H644,1017,ʼâphâh,aleph-pey,אפ,bake,apaya,Southern Sotho,אפה,apaya.mp3
H6952,1426,qᵉhillâh,quph-lamed,קל,assembly,apejo,Yoruba,קהלה, 
H3848,2304,lᵉbash,lamed-beyt-shin,לבש,clothe another,apesha,Pedi,לבש,apesha.mp3
H639,1017,ʼaph,aleph-pey,אפ,nose,ʼaph,Hebrew,אף,
H638,1017,ʼaph,aleph-pey,אפ,also,ʼaph,Hebrew,אף,
H638,1017,ʼaph,aleph-pey,אפ,even,ʼaph,Hebrew,אף,
H637,1017,ʼaph,aleph-pey,אפ,accession,ʼaph,Hebrew,אף,
H6452,1374,pâçach,pey-waw,פו,here,apha,Xhosa,פסח,apha.mp3
H645,1374,ʼêphôw,pey-waw,פו,here,apha,Xhosa,אפו,apha.mp3
H645,1374,ʼêphôw,pey-waw,פו,now,apha,Zulu,אפו,apha.mp3
H6075,2564,ʻâphal,ayin-pey-lamed,עפל,lift,ʻâphal,Hebrew,עפל,
H6075,2564,ʻâphal,ayin-pey-lamed,עפל,presume,ʻâphal,Hebrew,עפל,
H6075,2564,ʻâphal,ayin-pey-lamed,עפל,swell,ʻâphal,Hebrew,עפל,
H6079,1362,ʻaphʻaph,ayin-pey,עפ,dawning,ʻaphʻaph,Hebrew,עפעף,
H6079,1362,ʻaphʻaph,ayin-pey,עפ,eyelash,ʻaphʻaph,Hebrew,עפעף,
H6079,1362,ʻaphʻaph,ayin-pey,עפ,eyelid,ʻaphʻaph,Hebrew,עפעף,
H662,1387,ʼâphaq,pey-quph,פק,contain,ʼâphaq,Hebrew,אפק,
H662,1387,ʼâphaq,pey-quph,פק,force,ʼâphaq,Hebrew,אפק,
H662,1387,ʼâphaq,pey-quph,פק,refrain,ʼâphaq,Hebrew,אפק,
H662,1387,ʼâphaq,pey-quph,פק,refrain,ʼâphaq,Hebrew,אפק,
H6080,2565,ʻâphar,ayin-pey-resh,עפר,be dust,ʻâphar,Hebrew,עפר,
H6083,2565,ʻâphâr,ayin-pey-resh,עפר,ashes,ʻâphâr,Hebrew,עפר,
H6083,2565,ʻâphâr,ayin-pey-resh,עפר,dust,ʻâphâr,Hebrew,עפר,
H670,1111,ʼĂphârᵉçay,NAME,אפרסי,Apherasite,ʼĂphârᵉçay,Hebrew,אפרסי,
H656,1383,ʼâphêç,pey-samehh,פס,disappear,ʼâphêç,Hebrew,אפס,
H656,1383,ʼâphêç,pey-samehh,פס,end,ʼâphêç,Hebrew,אפס,
H656,1383,ʼâphêç,pey-samehh,פס,fail,ʼâphêç,Hebrew,אפס,
H656,1383,ʼâphêç,pey-samehh,פס,gone,ʼâphêç,Hebrew,אפס,
H656,1383,ʼâphêç,pey-samehh,פס,nought,ʼâphêç,Hebrew,אפס,
H651,1380,ʼâphêl,pey-lamed,פל,dusky,ʼâphêl,Hebrew,אפל,
H653,1380,ʼăphêlâh,pey-lamed,פל,duskiness,ʼăphêlâh,Hebrew,אפלה,
H663,1111,ʼĂphêq,NAME,אפק,Aphek,ʼĂphêq,Hebrew,אפק,
H664,1111,ʼĂphêqâh,NAME,אפקה,Aphekah,ʼĂphêqâh,Hebrew,אפקה,
H666,1388,ʼăphêr,pey-resh,פר,turban,ʼăphêr,Hebrew,אפר,
H647,1111,ʼĂphîyach,NAME,אפיח,Aphiach,ʼĂphîyach,Hebrew,אפיח,
H648,1380,ʼâphîyl,pey-lamed,פל,grown,ʼâphîyl,Hebrew,אפיל,
H648,1380,ʼâphîyl,pey-lamed,פל,late,ʼâphîyl,Hebrew,אפיל,
H648,1380,ʼâphîyl,pey-lamed,פל,unripe,ʼâphîyl,Hebrew,אפיל,
H650,1387,ʼâphîyq,pey-quph,פק,brook,ʼâphîyq,Hebrew,אפיק,
H650,1387,ʼâphîyq,pey-quph,פק,channel,ʼâphîyq,Hebrew,אפיק,
H650,1387,ʼâphîyq,pey-quph,פק,containing,ʼâphîyq,Hebrew,אפיק,
H650,1387,ʼâphîyq,pey-quph,פק,mighty,ʼâphîyq,Hebrew,אפיק,
H650,1387,ʼâphîyq,pey-quph,פק,river,ʼâphîyq,Hebrew,אפיק,
H650,1387,ʼâphîyq,pey-quph,פק,riverbank,ʼâphîyq,Hebrew,אפיק,
H650,1387,ʼâphîyq,pey-quph,פק,scales,ʼâphîyq,Hebrew,אפיק,
H650,1387,ʼâphîyq,pey-quph,פק,stream,ʼâphîyq,Hebrew,אפיק,
H650,1387,ʼâphîyq,pey-quph,פק,strong,ʼâphîyq,Hebrew,אפיק,
H3307,1376,yâphêach,pey-hhet,פח,blow open,apoha,Venda,יפח,apoha.mp3
H3307,1376,yâphêach,pey-hhet,פח,uncover,apola,Venda,יפח,apola.mp3
H1895,1043,hâbar,beyt-resh,בר,uncover,apola,Pedi,הבר,apola.mp3
H649,1111,ʼAppayim,NAME,אפים,Appajim,ʼAppayim,Hebrew,אפים,
H6530,2642,pᵉrîyts,pey-resh-tsade,פרצ,ravenous,apuretsa,Southern Sotho,פריץ,apuretsa.mp3
H6530,2642,pᵉrîyts,pey-resh-tsade,פרצ,take everything,apuretsa,Southern Sotho,פריץ,apuretsa.mp3
H6117,2571,ʻâqab,ayin-quph-beyt,עקב,heel,ʻâqab,Hebrew,עקב,
H6117,2571,ʻâqab,ayin-quph-beyt,עקב,seize by the heel,ʻâqab,Hebrew,עקב,
H6117,2571,ʻâqab,ayin-quph-beyt,עקב,stay,ʻâqab,Hebrew,עקב,
H6117,2571,ʻâqab,ayin-quph-beyt,עקב,supplant,ʻâqab,Hebrew,עקב,
H6123,2572,ʻâqad,ayin-quph-dalet,עקד,bind,ʻâqad,Hebrew,עקד,
H6123,2572,ʻâqad,ayin-quph-dalet,עקד,tie with thongs,ʻâqad,Hebrew,עקד,
H6125,1364,ʻâqâh,ayin-quph,עק,constraint,ʻâqâh,Hebrew,עקה,
H6125,1364,ʻâqâh,ayin-quph,עק,oppression,ʻâqâh,Hebrew,עקה,
H6127,2904,ʻâqal,ayin-quph-lamed,עקל,wrest,ʻâqal,Hebrew,עקל,
H6127,2904,ʻâqal,ayin-quph-lamed,עקל,wrong,ʻâqal,Hebrew,עקל,
H6129,3066,ʻăqallâthôwn,ayin-quph-lamed-tav,עקלת,tortuous,ʻăqallâthôwn,Hebrew,עקלתון,
H6128,2904,ʻăqalqal,ayin-quph-lamed,עקל,crooked,ʻăqalqal,Hebrew,עקלקל,
H6128,2904,ʻăqalqal,ayin-quph-lamed,עקל,winding,ʻăqalqal,Hebrew,עקלקל,
H6130,1111,ʻÂqân,NAME,עקן,Akan,ʻÂqân,Hebrew,עקן,
H6131,2905,ʻâqar,ayin-quph-resh,עקר,pluck,ʻâqar,Hebrew,עקר,
H6135,2905,ʻâqâr,ayin-quph-resh,עקר,sterile,ʻâqâr,Hebrew,עקר,
H6132,2905,ʻăqar,ayin-quph-resh,עקר,uprooted,ʻăqar,Hebrew,עקר,
H6140,2906,ʻâqash,ayin-quph-shin,עקש,crooked,ʻâqash,Hebrew,עקש,
H6140,2906,ʻâqash,ayin-quph-shin,עקש,knot,ʻâqash,Hebrew,עקש,
H6140,2906,ʻâqash,ayin-quph-shin,עקש,perverse,ʻâqash,Hebrew,עקש,
H6140,2906,ʻâqash,ayin-quph-shin,עקש,pervert,ʻâqash,Hebrew,עקש,
H6120,2571,ʻâqêb,ayin-quph-beyt,עקב,deceiver,ʻâqêb,Hebrew,עקב,
H6120,2571,ʻâqêb,ayin-quph-beyt,עקב,heels,ʻâqêb,Hebrew,עקב,
H6120,2571,ʻâqêb,ayin-quph-beyt,עקב,lier in wait,ʻâqêb,Hebrew,עקב,
H6124,2572,ʻâqôd,ayin-quph-dalet,עקד,ringstraked,ʻâqôd,Hebrew,עקד,
H6124,2572,ʻâqôd,ayin-quph-dalet,עקד,striped,ʻâqôd,Hebrew,עקד,
H689,1019,ʼaqqôw,aleph-quph,אק,slender,ʼaqqôw,Hebrew,אקו,
H6126,1111,ʻAqqûwb,NAME,עקוב,Akkub,ʻAqqûwb,Hebrew,עקוב,
H6137,3046,ʻaqrâb,ayin-quph-resh-beyt,עקרב,scorpion,ʻaqrâb,Hebrew,עקרב,
H6146,1526,ʻâr,ayin-resh,ער,adversary,ʻâr,Hebrew,ער,
H6146,1526,ʻâr,ayin-resh,ער,enemy,ʻâr,Hebrew,ער,
H6146,1526,ʻâr,ayin-resh,ער,foe,ʻâr,Hebrew,ער,
H6145,1526,ʻâr,ayin-resh,ער,foe,ʻâr,Hebrew,ער,
H6144,1111,ʻÂr,NAME,ער,Ar,ʻÂr,Hebrew,ער,
H193,1012,ʼûwl,aleph-lamed,אל,body,ara,Yoruba,אול,
H690,1111,ʼărâʼ,NAME,ארא,Ara,ʼărâʼ,Hebrew,ארא,
H779,1457,ʼârar,resh-resh,רר,curse,ara (G685),Greek,ארר,
H6150,2573,ʻârab,ayin-resh-beyt,ערב,grow dusky,ʻârab,Hebrew,ערב,
H6148,2573,ʻârab,ayin-resh-beyt,ערב,engage,ʻârab,Hebrew,ערב, 
H6148,2573,ʻârab,ayin-resh-beyt,ערב,engage,ʻârab,Hebrew,ערב, 
H6148,2573,ʻârab,ayin-resh-beyt,ערב,engage,ʻârab,Hebrew,ערב, 
H6148,2573,ʻârab,ayin-resh-beyt,ערב,engage,ʻârab,Hebrew,ערב, 
H6155,2573,ʻârâb,ayin-resh-beyt,ערב,willow,ʻârâb,Hebrew,ערב,
H6151,2573,ʻărab,ayin-resh-beyt,ערב,commingle,ʻărab,Hebrew,ערב,
H6152,1111,ʻĂrâb,NAME,ערב,Arab,ʻĂrâb,Hebrew,ערב,
H693,1439,ʼârab,resh-beyt,רב,lurk,ʼârab,Hebrew,ארב,
H694,1111,ʼĂrâb,NAME,ארב,Arab,ʼĂrâb,Hebrew,ארב,
H6148,2573,ʻârab,ayin-resh-beyt,ערב,engage in conversation,araba,Southern Sotho,ערב,araba.mp3
H559,1288,ʼâmar,mem-lamed,מל,answer,araba,Southern Sotho,אמר,araba.mp3
H6160,2573,ʻărâbâh,ayin-resh-beyt,ערב,desert,ʻărâbâh,Hebrew,ערבה,
H6163,1111,ʻĂrâbîy,NAME,ערבי,Arabian,ʻĂrâbîy,Hebrew,ערבי,
H6162,2573,ʻărâbôwn,ayin-resh-beyt,ערב,pawn,ʻărâbôwn,Hebrew,ערבון,
H733,1111,ʼÂrach,NAME,ארח,Arach,ʼÂrach,Hebrew,ארח,
H732,1445,ʼârach,resh-hhet,רח,travel,ʼârach,Hebrew,ארח,
H6167,2575,ʻărâd,ayin-resh-dalet,ערד,onager,ʻărâd,Hebrew,ערד,
H6167,2575,ʻărâd,ayin-resh-dalet,ערד,wild ass,ʻărâd,Hebrew,ערד,
H6166,1111,ʻĂrâd,NAME,ערד,Arad,ʻĂrâd,Hebrew,ערד,
H6165,2574,ʻârag,ayin-resh-gimel,ערג,cry,ʻârag,Hebrew,ערג,
H6165,2574,ʻârag,ayin-resh-gimel,ערג,long for,ʻârag,Hebrew,ערג,
H6165,2574,ʻârag,ayin-resh-gimel,ערג,pant,ʻârag,Hebrew,ערג,
H707,1440,ʼârag,resh-gimel,רג,plait,ʼârag,Hebrew,ארג,
H6169,1365,ʻârâh,ayin-resh,ער,naked,ʻârâh,Hebrew,ערה,
H6169,1365,ʻârâh,ayin-resh,ער,reed,ʻârâh,Hebrew,ערה,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,array,ʻârak,Hebrew,ערך,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,compare,ʻârak,Hebrew,ערך,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,direct,ʻârak,Hebrew,ערך,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,equal,ʻârak,Hebrew,ערך,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,estimate,ʻârak,Hebrew,ערך,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,expert,ʻârak,Hebrew,ערך,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,furnish,ʻârak,Hebrew,ערך,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,ordain,ʻârak,Hebrew,ערך,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,order,ʻârak,Hebrew,ערך,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,prepapre,ʻârak,Hebrew,ערך,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,row,ʻârak,Hebrew,ערך,
H6186,2576,ʻârak,ayin-resh-kaph,ערכ,value,ʻârak,Hebrew,ערך,
H748,1448,ʼârak,resh-kaph,רכ,be,ʼârak,Hebrew,ארך,
H749,1448,ʼărak,resh-kaph,רכ,suit,ʼărak,Hebrew,ארך,
H6192,2578,ʻâram,ayin-resh-mem,ערמ,pile,ʻâram,Hebrew,ערם,
H6191,2908,ʻâram,ayin-resh-mem,ערמ,be,ʻâram,Hebrew,ערם,
H6191,2908,ʻâram,ayin-resh-mem,ערמ,beware,ʻâram,Hebrew,ערם,
H6191,2908,ʻâram,ayin-resh-mem,ערמ,craft,ʻâram,Hebrew,ערם,
H6191,2908,ʻâram,ayin-resh-mem,ערמ,crafty,ʻâram,Hebrew,ערם,
H6191,2908,ʻâram,ayin-resh-mem,ערמ,prudent,ʻâram,Hebrew,ערם,
H6191,2908,ʻâram,ayin-resh-mem,ערמ,subtilty,ʻâram,Hebrew,ערם,
H758,1111,ʼĂrâm,NAME,ארם,Aram,ʼĂrâm,Hebrew,ארם,
H763,1111,ʼĂram Nahărayim,NAME,ארם נהרים,Aram,ʼĂram Nahărayim,Hebrew,ארם נהרים,
H760,1111,ʼĂram Tsôwbâh,NAME,ארם צובה,Aram of Tsoba,ʼĂram Tsôwbâh,Hebrew,ארם צובה,
H762,1450,ʼĂrâmîyth,resh-mem,רמ,in Aramæan,ʼĂrâmîyth,Hebrew,ארמית,
H761,1111,ʼĂrammîy,NAME,ארמי,Aramite,ʼĂrammîy,Hebrew,ארמי,
H765,1111,ʼĂrân,NAME,ארן,Aran,ʼĂrân,Hebrew,ארן,
H6202,2909,ʻâraph,ayin-resh-pey,ערפ,break the neck,ʻâraph,Hebrew,ערף,
H6201,2909,ʻâraph,ayin-resh-pey,ערפ,droop,ʻâraph,Hebrew,ערף,
H6205,3067,ʻărâphel,ayin-resh-pey-lamed,ערפל,gloom,ʻărâphel,Hebrew,ערפל,
H6207,2582,ʻâraq,ayin-resh-quph,ערק,gnaw,ʻâraq,Hebrew,ערק,
H6207,2582,ʻâraq,ayin-resh-quph,ערק,sinew,ʻâraq,Hebrew,ערק,
H778,1455,ʼăraq,resh-tsade,רצ,earth,ʼăraq,Hebrew,ארק,
H6199,1365,ʻarʻâr,ayin-resh,ער,destitute,ʻarʻâr,Hebrew,ערער,
H6199,1365,ʻarʻâr,ayin-resh,ער,heath,ʻarʻâr,Hebrew,ערער,
H6199,1365,ʻarʻâr,ayin-resh,ער,naked,ʻarʻâr,Hebrew,ערער,
H6209,1365,ʻârar,ayin-resh,ער,bare,ʻârar,Hebrew,ערר,
H6209,1365,ʻârar,ayin-resh,ער,break,ʻârar,Hebrew,ערר,
H6209,1365,ʻârar,ayin-resh,ער,raise,ʻârar,Hebrew,ערר,
H780,1111,ʼĂrâraṭ,NAME,אררט,Ararat,ʼĂrâraṭ,Hebrew,אררט,
H781,1458,ʼâras,resh-shin,רש,betroth,ʼâras,Hebrew,ארש,
H781,1458,ʼâras,resh-shin,רש,engage for matrimony,ʼâras,Hebrew,ארש,
H781,1458,ʼâras,resh-shin,רש,espouse,ʼâras,Hebrew,ארש,
H728,1111,ʼĂrawnâh,NAME,ארונה,Aravnah,ʼĂrawnâh,Hebrew,ארונה,
H729,1444,ʼâraz,resh-zayin,רז,of cedar,ʼâraz,Hebrew,ארז,
H704,1111,ʼArbaʻ,NAME,ארבע,Arba,ʼArbaʻ,Hebrew,ארבע,
H703,1439,ʼarbaʻ,resh-beyt,רב,four,ʼarbaʻ,Hebrew,ארבע,
H702,1439,ʼarbaʻ,resh-beyt,רב,four,ʼarbaʻ,Hebrew,ארבע,
H705,1439,ʼarbâʻîym,resh-beyt,רב,forty,ʼarbâʻîym,Hebrew,ארבעים,
H697,1439,ʼarbeh,resh-beyt,רב,locust,ʼarbeh,Hebrew,ארבה,
H701,1111,ʼArbîy,NAME,ארבי,Arbite,ʼArbîy,Hebrew,ארבי,
H714,1111,ʼArd,NAME,ארד,Ard,ʼArd,Hebrew,ארד,
H716,1111,ʼArdîy,NAME,ארדי,Ardite,ʼArdîy,Hebrew,ארדי,
H715,1111,ʼArdôwn,NAME,ארדון,Ardon,ʼArdôwn,Hebrew,ארדון,
H6156,2573,ʻârêb,ayin-resh-beyt,ערב,pleasant,ʻârêb,Hebrew,ערב,
H6149,2573,ʻârêb,ayin-resh-beyt,ערב,agreeable,ʻârêb,Hebrew,ערב,
H750,1448,ʼârêk,resh-kaph,רכ,long,ʼârêk,Hebrew,ארך,
H6189,2577,ʻârêl,ayin-resh-lamed,ערל,exposed,ʻârêl,Hebrew,ערל,
H6188,2577,ʻârêl,ayin-resh-lamed,ערל,expose,ʻârêl,Hebrew,ערל,
H692,1111,ʼArʼêlîy,NAME,אראלי,Areli,ʼArʼêlîy,Hebrew,אראלי,
H6194,2578,ʻârêm,ayin-resh-mem,ערמ,heap,ʻârêm,Hebrew,ערם,
H782,1458,ʼăresheth,resh-shin,רש,longing for,ʼăresheth,Hebrew,ארשת,
H782,1458,ʼăresheth,resh-shin,רש,request,ʼăresheth,Hebrew,ארשת,
H713,1440,ʼargâmân,resh-gimel,רג,purple,ʼargâmân,Hebrew,ארגמן,
H712,2748,ʼargâz,resh-gimel-zayin,רגז,box,ʼargâz,Hebrew,ארגז,
H712,2748,ʼargâz,resh-gimel-zayin,רגז,chestnut,ʼargâz,Hebrew,ארגז,
H712,2748,ʼargâz,resh-gimel-zayin,רגז,coffer,ʼargâz,Hebrew,ארגז,
H711,1440,ʼargᵉwân,resh-gimel,רג,purple,ʼargᵉwân,Hebrew,ארגון,
H711,1440,ʼargᵉwân,resh-gimel,רג,scarlet,ʼargᵉwân,Hebrew,ארגון,
H711,1440,ʼargᵉwân,resh-gimel,רג,sign of rulership,ʼargᵉwân,Hebrew,ארגון,
H710,1440,ʼargᵉwân,resh-gimel,רג,purple,ʼargᵉwân,Hebrew,ארגון,
H709,1111,ʼArgôb,NAME,ארגב,Argob,ʼArgôb,Hebrew,ארגב,
H741,1442,ʼăriʼêyl,resh-hey,רה,altar of the temple,ʼăriʼêyl,Hebrew,אראיל,
H738,1442,ʼărîy,resh-hey,רה,lion,ʼărîy,Hebrew,ארי,
H6182,2579,ʻărîyçâh,ayin-resh-samehh,ערס,dough,ʻărîyçâh,Hebrew,עריסה,
H6182,2579,ʻărîyçâh,ayin-resh-samehh,ערס,meal,ʻărîyçâh,Hebrew,עריסה,
H747,1111,ʼĂrîyçay,NAME,אריסי,Arisai,ʼĂrîyçay,Hebrew,אריסי,
H743,1111,ʼĂrîydâthâʼ,NAME,ארידתא,Aridatha,ʼĂrîydâthâʼ,Hebrew,ארידתא,
H742,1111,ʼĂrîyday,NAME,ארידי,Aridai,ʼĂrîyday,Hebrew,ארידי,
H740,1111,ʼĂrîyʼêl,NAME,אריאל,Ariel,ʼĂrîyʼêl,Hebrew,אריאל,
H739,1442,ʼărîyʼêl,resh-hey,רה,lion of God,ʼărîyʼêl,Hebrew,אריאל,
H6183,2909,ʻârîyph,ayin-resh-pey,ערפ,sky,ʻârîyph,Hebrew,עריף,
H6185,1365,ʻărîyrîy,ayin-resh,ער,bare,ʻărîyrîy,Hebrew,ערירי,
H6185,1365,ʻărîyrîy,ayin-resh,ער,childless,ʻărîyrîy,Hebrew,ערירי,
H773,1455,ʼarʻîyth,resh-tsade,רצ,bottom,ʼarʻîyth,Hebrew,ארעית,
H6184,2581,ʻârîyts,ayin-tsade-quph,עצק,fearful,ʻârîyts,Hebrew,עריץ,
H6184,2581,ʻârîyts,ayin-tsade-quph,עצק,mighty,ʻârîyts,Hebrew,עריץ,
H6184,2581,ʻârîyts,ayin-tsade-quph,עצק,oppressor,ʻârîyts,Hebrew,עריץ,
H6184,2581,ʻârîyts,ayin-tsade-quph,עצק,power,ʻârîyts,Hebrew,עריץ,
H6184,2581,ʻârîyts,ayin-tsade-quph,עצק,strong,ʻârîyts,Hebrew,עריץ,
H6184,2581,ʻârîyts,ayin-tsade-quph,עצק,terrible,ʻârîyts,Hebrew,עריץ,
H6184,2581,ʻârîyts,ayin-tsade-quph,עצק,violent,ʻârîyts,Hebrew,עריץ,
H754,1448,ʼarkâʼ,resh-kaph,רכ,length,ʼarkâʼ,Hebrew,ארכא,
H756,1111,ʼArkᵉway,NAME,ארכוי,Arkevite,ʼArkᵉway,Hebrew,ארכוי,
H757,1111,ʼArkîy,NAME,ארכי,Arkite,ʼArkîy,Hebrew,ארכי,
H755,2769,ʼarkubâh,resh-kaph-beyt,רכב,knee,ʼarkubâh,Hebrew,ארכבה,
H764,1111,ʼArmônîy,NAME,ארמני,Armoni,ʼArmônîy,Hebrew,ארמני,
H6196,2908,ʻarmôwn,ayin-resh-mem,ערמ,chestnut,ʻarmôwn,Hebrew,ערמון,
H6196,2908,ʻarmôwn,ayin-resh-mem,ערמ,plane tree,ʻarmôwn,Hebrew,ערמון,
H759,1450,ʼarmôwn,resh-mem,רמ,citadel,ʼarmôwn,Hebrew,ארמון,
H770,1111,ʼArnân,NAME,ארנן,Arnan,ʼArnân,Hebrew,ארנן,
H769,1111,ʼArnôwn,NAME,ארנון,Arnon,ʼArnôwn,Hebrew,ארנון,
H6157,2573,ʻârôb,ayin-resh-beyt,ערב,flies,ʻârôb,Hebrew,ערב,
H6157,2573,ʻârôb,ayin-resh-beyt,ערב,mosquito,ʻârôb,Hebrew,ערב,
H6157,2573,ʻârôb,ayin-resh-beyt,ערב,swarm,ʻârôb,Hebrew,ערב,
H6200,1111,ʻĂrôʻêrîy,NAME,ערערי,Aroerite,ʻĂrôʻêrîy,Hebrew,ערערי,
H752,1448,ʼârôk,resh-kaph,רכ,long,ʼârôk,Hebrew,ארך,
H7313,1450,rûwm,resh-mem,רמ,aroma,aroma (G759),Greek,רום,
H6171,2575,ʻârôwd,ayin-resh-dalet,ערד,onager,ʻârôwd,Hebrew,ערוד,
H720,1111,ʼĂrôwd,NAME,ארוד,Arod,ʼĂrôwd,Hebrew,ארוד,
H722,1111,ʼĂrôwdîy,NAME,ארודי,Arodite,ʼĂrôwdîy,Hebrew,ארודי,
H6177,1111,ʻĂrôwʻêr,NAME,ערוער,Aroër,ʻĂrôwʻêr,Hebrew,ערוער,
H6176,1365,ʻărôwʻêr,ayin-resh,ער,heath,ʻărôwʻêr,Hebrew,ערוער,
H6176,1365,ʻărôwʻêr,ayin-resh,ער,juniper,ʻărôwʻêr,Hebrew,ערוער,
H6174,1365,ʻârôwm,ayin-resh,ער,nude,ʻârôwm,Hebrew,ערום,
H726,1111,ʼĂrôwmîy,NAME,ארומי,Edomite,ʼĂrôwmîy,Hebrew,ארומי,
H727,1020,ʼârôwn,aleph-resh,אר,ark,ʼârôwn,Hebrew,ארון,
